Chatflow,Fecha,Pregunta del usuario,Respuesta del bot,clasificacion_nueva,motivo
Punta Cuerna,2026-06-03,Si ,"Perfecto.  

La información oficial que tengo de Punta Cuerna NO incluye teléfonos, correos ni WhatsApp de contacto, solo datos del proyecto y su ubicación.  

En este caso, no cuento con esa información específica. Te r...",descartar,captura_contacto_no_brecha
Punta Cuerna,2026-06-03,Me interesa saber costos de sus viviendas y si aceptan créditos. ,"Te cuento lo que sí está claro en la información oficial del proyecto:

- Sobre **costos**:  
  No aparecen precios ni rangos de costos en los documentos que tengo.  
  **No cuento con esa información confirmada.** La in...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-03,"Hola buenos días, me interesa saber el precio ","Hola, buenos días.  

No cuento con información de precios en los documentos que tengo. La información puede variar según disponibilidad y actualización comercial, así que te recomiendo validarlo directamente con un ases...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-03,info,"Te cuento lo esencial de Punta Cuerna Residencial:

- **Ubicación:**  
  Calle Barrancas No. 2, Fracc. Punta Cuerna, Delegación Lázaro Cárdenas del Río, C.P. 62076, Cuernavaca, Morelos.  
  A ~10 min del centro de Cuerna...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-03,No emntendi nada,"Claro, vamos paso a paso y muy sencillo.

Punta Cuerna es:

- 🏡 **Un fraccionamiento** (privado) de casas y departamentos.
- 📍 **Ubicación:** Calle Barrancas No. 2, Fracc. Punta Cuerna, Cuernavaca, Morelos.  
  A unos ...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-03,si por favor,"Perfecto, Celia, te cuento qué tienes cerca de Punta Cuerna y a qué distancia aproximada estás:

📍 **Centros comerciales (a unos 10–15 min):**  
- Centro Comercial Averanda  
- Galerías Cuernavaca  
- City Market  
- Wa...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-03,es por el puente sin fin,"Buena pregunta.  

Lo que tengo confirmado en la información oficial es la dirección exacta:  
**Calle Barrancas No. 2, Fraccionamiento Punta Cuerna, Delegación Lázaro Cárdenas del Río, CP 62076, Cuernavaca, Morelos.**

...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-03,como entrar,"Te explico de forma sencilla cómo llegar y entrar:

1. **Llega a la dirección oficial**  
   Escribe en Waze o Google Maps:  
   **“Punta Cuerna Residencial”** o **Calle Barrancas No. 2, Fraccionamiento Punta Cuerna, Del...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-03,Precio porfvaor ,"No cuento con información de precios en los documentos que tengo.  

La información de costos y promociones es dinámica y puede cambiar según la etapa del proyecto y la disponibilidad, por lo que es importante validarla ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-03,Precio cadiz,"No cuento con información de precios específicos del departamento Cádiz en el documento disponible.  

La información de precios, descuentos y disponibilidad es dinámica y puede variar según la etapa comercial, por lo qu...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-03,Los costos ,"Por ahora no tengo publicados en los documentos oficiales los costos ni rangos de precios de Punta Cuerna.  

La información de precios, promociones y disponibilidad es dinámica y puede cambiar según la etapa del proyect...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-03,Departamento ,"Perfecto, te platico de los departamentos que maneja Punta Cuerna Residencial:  

**1. Departamento Alcalá**  
- Sala  
- Comedor  
- Cocina  
- 2 recámaras  
- 1 baño completo  
- Área de lavado  
- 1 cajón de estaciona...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-03,2 recámaras ,"Buenísimo, para 2 recámaras tienes estas opciones de departamento en Punta Cuerna:  

**Departamento Alcalá**  
- 2 recámaras  
- 1 baño completo  
- Sala  
- Comedor  
- Cocina  
- Área de lavado  
- 1 cajón de estacion...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-03,Para vivir ,"Para vivir diario, los dos prototipos de 2 recámaras pueden funcionar, pero suelen elegirse así:  

- **Alcalá**: más sencillo, 2 recámaras y 1 baño completo. Suele ser buena opción si buscas algo práctico y compacto.  
...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-04,Precios,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede variar según la etapa comercial, por lo que te recomiendo validarla direc...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-04,Vas a vender casas con local comercial ,"Por la información que tengo de Punta Cuerna Residencial, los prototipos que se manejan son:

- Departamentos (Alcalá y Cádiz)  
- Casas habitación (Córdoba y Castilla)

En los documentos no aparece que se ofrezcan **cas...",descartar,cierre_social_no_brecha
Punta Cuerna,2026-06-04,Costo de tus viviendas ,"En los documentos que tengo de Punta Cuerna Residencial **no aparece ningún listado de precios ni rangos de costo** para los departamentos o casas.

La información comercial como precios, promociones y disponibilidad es ...",descartar,respuesta_negativa_catalogo_directorio
Punta Cuerna,2026-06-04,El precio de las casa en preventa y dónde se encuentra su punto de venta para poder acudir ,"Claro, te explico.

1) **Precios en preventa**  
En los documentos que tengo de Punta Cuerna **no aparecen rangos de precios ni listas de preventa**.  
No cuento con esa información confirmada y la información comercial ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-04,Quisiera información de cómo llegar y que me den información sobre el espectacular que está en el paso express q departamento desde 990 ,"Claro, te explico.

1) **Dirección exacta del desarrollo**  
Punta Cuerna Residencial está en:  
**Calle Barrancas No. 2, Fraccionamiento Punta Cuerna, Delegación Lázaro Cárdenas del Río, CP 62076, Cuernavaca, Morelos.**...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-04,Tiene punto de venta en Morelos??,"En la información oficial solo aparece la ubicación del desarrollo en:

Calle Barrancas No. 2, Fracc. Punta Cuerna, Delegación Lázaro Cárdenas del Río, C.P. 62076, Cuernavaca, Morelos.

No se especifica si hay otros punt...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-04,costo de los departamentos,"No cuento con información de costos específica de los departamentos en los documentos disponibles.  

La inversión en Punta Cuerna puede variar según el prototipo (Alcalá o Cádiz), la ubicación dentro del fraccionamiento...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-04,Qué precios tienes?,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, así que te recomiendo validarlo directa...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-04,Que precio tiene las casas,"No cuento con información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, así que te recomiendo validarlo directa...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-05,Quisiera saber precios de departamentos y casas ,"Por ahora no tengo información de precios en los documentos del proyecto.  

La información de costos, promociones y disponibilidad es dinámica y puede cambiar según la etapa comercial, así que no puedo darte montos espe...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-05,Precios ,"No cuento con información específica de precios en los documentos que tengo disponibles.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo directam...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,Si,"Perfecto.  

Sobre el precio específico de la Casa Castilla **no cuento con esa información en los documentos del proyecto**.  
La información de costos y promociones **puede variar según la etapa y la disponibilidad**, ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,Costo departamento ,"No cuento con información de costos o rangos de precios en los documentos que tengo.  

La información de precios puede variar según la etapa del proyecto y la disponibilidad, así que te recomiendo validarlo directamente...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,el departamento mas económico cu do cuesta,"No cuento con información de precios en los documentos que tengo.  

Los costos de los departamentos pueden variar según disponibilidad y actualización comercial, así que es información dinámica. Te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,Cuál es el precio de la preventa ?,"No cuento con información de precios de preventa en los documentos disponibles.  

La información de precios, promociones y disponibilidad puede variar según la etapa del proyecto y la actualización comercial. Te recomie...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,Cuanto cuesta la casa Castilla?,"No cuento con información de precios específicos de la Casa Castilla en los documentos que tengo.  

La información de costos puede variar según disponibilidad y actualización comercial, así que te recomiendo validarlo d...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-05,Me interesa más información ,"Claro, te cuento de forma general y si quieres luego vamos a lo específico.

Punta Cuerna Residencial es un fraccionamiento exclusivo en Cuernavaca, Morelos, a unos 10 minutos del centro de Cuernavaca y aproximadamente 4...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-05,"Casa,","Perfecto, te enfocas en casa 😊 Te resumo las dos opciones que hay en el proyecto:

**1. Casa Córdoba**  
- **Planta baja:**
  - Sala  
  - Comedor  
  - Cocina  
  - ½ baño  
  - Área de lavado  
  - Jardín posterior  
...",descartar,respuesta_parcial_util
Punta Cuerna,2026-06-05,Hola quisiera saber costos de la casa Castilla ,"Hola, gracias por tu interés en la casa Castilla.

En los documentos que tengo solo aparece la distribución del modelo Castilla (sus espacios en planta baja y planta alta), pero **no vienen listados los costos ni rangos ...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-06,Precios,"No cuento con información de precios en los documentos del proyecto.  

La información de precios, promociones y disponibilidad puede variar según la etapa comercial, así que te recomiendo validarlo directamente con un a...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-06,Precios ,"No cuento con información de precios en los documentos del proyecto.  

La información de precios puede variar según la etapa y la disponibilidad, así que es muy importante validarla directamente con un asesor comercial....",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-06,Costo de los departamentos y la casa pequeña,"No cuento con información de costos en los documentos que tengo a la mano.  

La inversión en los departamentos (Alcalá y Cádiz) y en la casa pequeña (muy probablemente te refieres al prototipo Córdoba) puede variar segú...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-06,Hay trabajo de asesor imobiliario con ustedes,"Por ahora no tengo información en los documentos sobre vacantes o contratación de asesores inmobiliarios para Punta Cuerna.  

No cuento con esa información confirmada. Te recomiendo contactar directamente al equipo del ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-07,costos,"No cuento con información de costos ni rangos de precios en los documentos del proyecto.  

La información de precios, disponibilidad y promociones puede variar según la etapa comercial, así que te recomiendo validarlo d...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Precios ?,"No cuento con información de precios en los documentos que tengo.  

La información de precios, promociones y disponibilidad puede variar según la etapa del proyecto y la actualización comercial. Te recomiendo validarlo ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,"Hola, cuáles serán los precios de las casas?","No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad, así que es algo que se tiene que validar directo con e...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Hay algun correo para preguntar costos,"En los documentos que tengo no aparece un correo específico para solicitar costos.

La información comercial (precios, disponibilidad, promociones y formas de pago) es dinámica y puede cambiar según la etapa del proyecto...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-07,Aceptan créditos? ,"No cuento con información confirmada sobre créditos o financiamiento en los documentos que tengo a la mano.  

La información sobre tipos de crédito, enganches y formas de pago puede variar según la etapa comercial, así ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Como puedo obtener una cotizacion,"Para obtener una cotización actualizada de Punta Cuerna Residencial no tengo datos directos en los documentos.  

La información de precios y disponibilidad es dinámica, así que no cuento con esa información confirmada. ...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-07,Presio ,"No cuento con información de precios en los documentos que tengo a la mano.  

La información de costos, promociones y disponibilidad puede cambiar según la etapa del proyecto, así que te recomiendo validarlo directament...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-07,Precio,"No cuento con información de precios en los documentos que tengo disponibles.  
La información puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con el área comercial del proye...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,La casa de tres recámaras que precio tiene ,"No cuento con información de precios en los documentos del proyecto.  

Además, los precios son información dinámica y pueden cambiar según la etapa y la disponibilidad.  
Te recomiendo validarlo directamente con un ases...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Que créditos van a aceptar?,"No cuento con información en los documentos sobre qué tipos de créditos o financiamientos van a aceptar en Punta Cuerna.  

Además, ese tipo de datos son dinámicos y pueden cambiar según la etapa del proyecto y las polít...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-07,Cual es el costo de la casa castillo?,"No cuento con información del costo de la Casa Castilla en los documentos que tengo.  

Además, los precios son información dinámica y pueden variar según la etapa del proyecto y la disponibilidad, así que es algo que si...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Qué costo tiene?,"No cuento con información de precios actualizada en los documentos.  

La información de costo puede variar según el tipo de propiedad y la etapa comercial, así que es muy importante validarlo directamente con un asesor ...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-07,Viene con cocina integral¡,"En los documentos solo aparece que todos los prototipos incluyen **cocina**, pero no se especifica si es cocina integral (con mobiliario y equipamiento incluidos) ni el nivel de acabados.

No cuento con esa información c...",descartar,offtopic_no_brecha
Punta Cuerna,2026-06-08,Cuál es el costo de cada una de las casas,"No cuento con esa información confirmada en los documentos del proyecto.  

Los precios son información dinámica y pueden cambiar según la etapa, disponibilidad y actualizaciones comerciales, así que es importante valida...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-08,Ayúdame a cotizar el prototipo  castillq,"Te ayudo con gusto, pero aquí en los documentos no vienen precios ni tablas de cotización del prototipo Castilla.  

Los costos, enganches, mensualidades y promociones son información dinámica y pueden cambiar según la e...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-08,Tengo un presupuesto de 2 millones de pesos ,"Con 2 millones de pesos estás en un muy buen rango para explorar el prototipo Castilla, pero en los documentos no vienen precios ni esquemas de pago, así que no puedo confirmar si ese monto alcanza para comprarla de cont...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-08,Cuando comienza la preventa?,"No cuento con esa información confirmada en los documentos del proyecto.  

La fecha de preventa puede variar según la etapa y la actualización comercial, así que te recomiendo validarlo directamente con un asesor del pr...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-08,Cual será el precio de las casas?,"En los documentos que tengo no aparece ningún rango de precios para las casas de Punta Cuerna.  

La información de costos es dinámica y puede cambiar según la etapa del proyecto y la disponibilidad, así que no cuento co...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-08,Quienes podrán adquirir una casa?,"En los documentos del proyecto no vienen restricciones específicas sobre “quiénes sí” y “quiénes no” pueden adquirir una casa en Punta Cuerna.  

No cuento con información confirmada sobre requisitos de perfil de comprad...",mantener_brecha,brecha_accionable
Punta Cuerna,2026-06-08,Presios,"No cuento con información específica de precios en los documentos que tengo.  

La información de costos, descuentos y disponibilidad se actualiza constantemente, así que puede variar según la etapa del proyecto. Te reco...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-08,Presios,"Claro. Te comparto la información principal de Punta Cuerna Residencial:

- **Ubicación:** Calle Barrancas No. 2, Fracc. Punta Cuerna, Delegación Lázaro Cárdenas del Río, C.P. 62076, Cuernavaca, Morelos. A ~10 min del Ce...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-08,Soy asesor inmobiliario independiente y quiero ver la posibilidad de poder promover sus propiedades,"Qué bueno que lo comentas, gracias por considerarnos para tu cartera.  

En los documentos que tengo no viene información específica sobre convenios con asesores externos ni el proceso para darse de alta como aliado come...",revisar_manual,no_match_no_info_actual
Punta Cuerna,2026-06-09,Me darías precios,"No cuento con información de precios en los documentos del proyecto.  
La información de costos, promociones y disponibilidad puede variar según la etapa comercial, así que es algo que el área de ventas actualiza constan...",descartar,dato_dinamico_comercial
Punta Cuerna,2026-06-09,cuales son los precios?,"No cuento con información de precios en los documentos que tengo.  

La información puede variar según la etapa y la disponibilidad, así que te recomiendo validarlo directamente con un asesor comercial del proyecto para ...",descartar,dato_dinamico_comercial
LST Santa Catalina,2026-05-13,tienen otros desarrollos?,"No tengo información sobre otros desarrollos aparte de Viñedo Santa Catalina y sus servicios (hotel, restaurante, venta de terrenos, actividades y catas). Si deseas información sobre desarrollos adicionales, te recomiend...",descartar,respuesta_parcial_util
LST Santa Catalina,2026-05-19,Cual es su organigrama de la empresa,"No tengo información sobre el organigrama de la empresa Viñedo Santa Catalina. Si necesitas ese dato específico, te sugiero contactar directamente al equipo comercial o administrativo. ¿Te gustaría que te comparta los da...",mantener_brecha,brecha_accionable
LST Santa Catalina,2026-05-21,Cuál es el costo de los recorridos,"No tengo información específica sobre el costo de los recorridos como tal dentro de Viñedo Santa Catalina. Sin embargo, sí hay catas de vino que incluyen recorrido y tienen un costo de $590 por persona, con degustación d...",descartar,respuesta_parcial_util
LST Santa Catalina,2026-05-23,casas,"No tengo información sobre casas en venta o renta dentro de Viñedo Santa Catalina. El proyecto actualmente ofrece hospedaje en hotel, habitaciones de diferentes categorías y venta de terrenos con viñedo y huerto de olivo...",descartar,respuesta_parcial_util
LST Santa Catalina,2026-05-23,casas en venta,"Por el momento no tengo información confirmada sobre casas en venta en Viñedo Santa Catalina. Lo que sí te puedo decir es que actualmente se ofrece la venta de terrenos con viñedo y huerto de olivos, rodeados de naturale...",descartar,respuesta_parcial_util
LST Santa Catalina,2026-05-27,Que precios tienen los terrenos?,No tengo información específica sobre los precios de los terrenos en Viñedo Santa Catalina. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor d...,descartar,dato_dinamico_comercial
LST Santa Catalina,2026-05-28,Una pregunta se puede dar un paseo en velero por el lago? ,"No tengo información confirmada sobre paseos en velero en el lago de Viñedo Santa Catalina. El lago cuenta con un muelle que se utiliza principalmente para cenas especiales y hay senderos para caminar alrededor, pero no ...",descartar,respuesta_parcial_util
LST Santa Catalina,2026-05-29,cuál es la historia del viñedo santa catalina ,"No tengo información específica sobre la historia del Viñedo Santa Catalina en los documentos disponibles. Si te interesa conocer detalles sobre su origen o evolución, te sugiero contactar directamente al equipo del viñe...",mantener_brecha,brecha_accionable
LST Santa Catalina,2026-06-05,Quiero hacer un tour por el viñedo san lucas,"No tengo información confirmada sobre tours en Viñedo San Lucas, ya que mi enfoque es Viñedo Santa Catalina. Si buscas información sobre recorridos o visitas en Viñedo Santa Catalina, puedo ayudarte con gusto. Si necesit...",mantener_brecha,brecha_accionable
LST San Francisco,2026-05-12,"que precio tiene por persona los eventos, considerando un evento de 200 personas","Para eventos, el precio por persona puede variar según:

- Tipo de evento (social, corporativo, boda, etc.)  
- Horario (desayuno, comida, cena, coctel)  
- Menú elegido y si es servicio sentado, buffet o coctel  
- Si i...",descartar,dato_dinamico_comercial
LST San Francisco,2026-05-14,"puedes darme precio para una habitacion doble para 3 noches (13, 14 y 15 de noviembre)",No tengo información sobre precios específicos por noche para habitaciones. La tarifa puede variar según la temporada y disponibilidad. Te recomiendo validar directamente con el área comercial para obtener una cotización...,descartar,dato_dinamico_comercial
LST San Francisco,2026-05-16,cual es el precio de los terrenos disponibles?,No tengo información confirmada sobre el precio de los terrenos disponibles en Viñedo San Francisco. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un...,descartar,dato_dinamico_comercial
LST San Francisco,2026-05-20,"RESUMEME LA DIFERENCIA ENTRE VIÑEDO SAN LUCA, VIÑEDO SANTA CATALINA Y VIÑEDO SAN FRANCISCO","Claro, aquí tienes un resumen sencillo de las diferencias principales entre Viñedo San Luca, Viñedo Santa Catalina y Viñedo San Francisco:

- **Viñedo San Luca**: Es el más enfocado en la experiencia de hotel tipo toscan...",descartar,respuesta_parcial_util
LST San Francisco,2026-05-21,precio ,"No tengo información sobre precios de hospedaje o venta de terrenos en Viñedo San Francisco. Sin embargo, puedo decirte que las experiencias como catas de vino tienen un costo de $850 por persona, las clases de polo cues...",descartar,respuesta_parcial_util
LST San Francisco,2026-05-21,Precio de la visita al viñedo ,"No tengo información sobre un precio específico para la visita general al viñedo como paseo o recorrido simple. Sin embargo, sí hay experiencias de cata de vinos, que incluyen recorrido por la vinícola, explicación de pr...",descartar,respuesta_parcial_util
LST San Francisco,2026-05-22,Cuándo es la vendimia ,"No tengo información confirmada sobre la fecha de la vendimia en Viñedo San Francisco. Te recomiendo consultarlo directamente con el área comercial o con un asesor, ya que estos eventos suelen variar cada año y dependen ...",mantener_brecha,brecha_accionable
LST San Francisco,2026-05-22,Quisiera saber costo por habitación ,"No tengo información específica sobre el costo por habitación, ya que los precios pueden variar según la temporada y disponibilidad. Te recomiendo consultarlo directamente con el área comercial o reservar a través de Ope...",descartar,dato_dinamico_comercial
LST San Francisco,2026-05-23,que precio tienen las casa en venta,No tengo información confirmada sobre los precios de las casas en venta en Viñedo San Francisco. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un ase...,descartar,dato_dinamico_comercial
LST San Francisco,2026-05-24,Buenas tardes en sus habitaciones cuentan con cunas?,No tengo información confirmada de que las habitaciones cuenten con cunas o servicio de cuna para bebés. Te recomiendo consultarlo directamente con el área de reservaciones para que puedan apoyarte con este detalle espec...,mantener_brecha,brecha_accionable
LST San Francisco,2026-05-26,hay barra libre por algun costo? ,"No tengo información sobre barra libre ni costos asociados a ese servicio en Viñedo San Francisco. Si buscas una experiencia específica con barra libre, te recomiendo preguntar directamente al área comercial o al restaur...",descartar,dato_dinamico_comercial
LST San Francisco,2026-05-26,Costo de habitación para 2 personas,No tengo información específica sobre el costo por noche de las habitaciones para 2 personas. Los precios pueden variar según la temporada y disponibilidad. Te recomiendo contactar directamente al área de reservaciones p...,descartar,dato_dinamico_comercial
LST San Francisco,2026-05-27,Precio habitación ,No tengo información específica sobre el precio por noche de las habitaciones en el hotel de Viñedo San Francisco. Los precios pueden variar según la temporada y la disponibilidad. Te recomiendo consultar directamente co...,descartar,dato_dinamico_comercial
LST San Francisco,2026-06-01,Cuánto cuesta villa ecuestre ,No tengo información confirmada sobre el precio de la villa ecuestre. Te sugiero contactar directamente al equipo de ventas de Viñedo San Francisco para obtener una cotización actualizada y personalizada. ¿Te gustaría qu...,descartar,dato_dinamico_comercial
LST San Francisco,2026-06-03,Cuáles son los precios por persona ,"No tengo información sobre precios generales ""por persona"" para hospedaje o acceso, ya que el hotel no maneja Day Pass y los precios pueden variar según el tipo de habitación y servicios adicionales. 

Si te interesa una...",descartar,dato_dinamico_comercial
LST San Francisco,2026-06-05,Qué costo tienen las habitaciones ,No tengo información específica sobre el costo de las habitaciones en Viñedo San Francisco. Los precios pueden variar según la temporada y disponibilidad. Te recomiendo contactar directamente al área de reservaciones par...,descartar,dato_dinamico_comercial
LST - Providencia,2026-05-13,Que tipos de vinos tienen en el vinedo?,"No tengo información específica sobre los tipos de vinos que producen en el viñedo según el documento oficial. Para obtener detalles sobre los vinos disponibles, por favor contacte directamente a nuestro equipo de ventas...",descartar,dato_dinamico_comercial
Hideaways,2026-05-21,What are the prices?,No tengo información específica sobre los precios en el documento. La información puede variar según disponibilidad y actualización comercial. Te recomiendo validarlo directamente con un asesor del proyecto para obtener ...,descartar,dato_dinamico_comercial
Hideaways,2026-05-31,START DATE OF CONSTRUCTION,No cuento con información confirmada sobre la fecha de inicio de construcción para Hideaways Los Cabos. Te recomiendo validarlo directamente con el área comercial para obtener el dato exacto.,descartar,dato_dinamico_comercial
Gran Terraza Coapa,2026-05-14,Cuáles son sus restaurantes ,No tengo información confirmada sobre los restaurantes dentro de Gran Terraza Coapa. Te sugiero consultar directamente en el centro comercial o con alguno de sus asesores para obtener la lista actualizada de restaurantes...,descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-14,Pension para autos,No tengo información confirmada sobre la existencia de una pensión para autos (servicio de resguardo de autos o estacionamiento de larga estancia) en Gran Terraza Coapa. El centro comercial suele contar con estacionamien...,descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-15,Precio de estacionamiento ,"No tengo información confirmada sobre el precio actual del estacionamiento en Gran Terraza Coapa. Los precios pueden variar y están sujetos a cambios.

Te sugiero validar este dato directamente en el centro comercial o, ...",descartar,dato_dinamico_comercial
Gran Terraza Coapa,2026-05-16,Restaurantes ,Por ahora no tengo información confirmada sobre los restaurantes dentro de Gran Terraza Coapa. Te recomiendo acercarte directamente al centro comercial o consultar su directorio actualizado para obtener la lista de opcio...,descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-17,Tortas,"Por el momento no tengo información confirmada sobre restaurantes o locales de tortas dentro de Gran Terraza Coapa. La oferta gastronómica puede cambiar y actualizarse, por lo que te sugiero consultar directamente con el...",descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-17,Hay banamex?,"No tengo información confirmada sobre la presencia de una sucursal o cajero Banamex dentro de Gran Terraza Coapa. Te sugiero validar este dato directamente durante tu visita, o si lo prefieres, puedo ponerte en contacto ...",mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-18,Como s ella más donde hay comida y hay mujeres vestidas de leñadoras,"Por el momento, no tengo información confirmada en Gran Terraza Coapa sobre un restaurante o lugar específico donde las personas estén vestidas de leñadoras. Tampoco tenemos registros de un concepto temático de ese estil...",descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-18,Dime las empresas de comida,"Por el momento, no tengo información validada sobre las empresas o restaurantes de comida que se encuentran dentro de Gran Terraza Coapa. La información puede actualizarse constantemente, por lo que te recomiendo consult...",descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-20,Dónde está sushi roll?,No tengo información confirmada sobre la ubicación exacta de Sushi Roll dentro de Gran Terraza Coapa. Te sugiero consultar el directorio físico en el centro comercial o preguntar al personal de información dentro del com...,mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-21,Tiendas de ropa,"No tengo información disponible sobre tiendas de ropa específicas dentro de Gran Terraza Coapa. Si deseas conocer el listado actualizado de las tiendas de ropa o alguna marca en particular, te recomiendo consultarlo dire...",mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-22,Ferreteria,"No tengo información confirmada sobre la presencia de una ferretería dentro del centro comercial Gran Terraza Coapa. Si buscas una tienda específica de este giro, te recomiendo consultarlo directamente con la administrac...",mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-22,Pintura,"No tengo información confirmada sobre tiendas de pintura dentro del centro comercial Gran Terraza Coapa. Si necesitas ubicar una tienda de este tipo en el centro, te sugiero consultarlo directamente con la administración...",mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-22,Calentadores,"No cuento con información confirmada sobre tiendas que vendan calentadores dentro de Gran Terraza Coapa. Si estás buscando este tipo de productos en el centro comercial, te sugiero consultarlo con la administración o, si...",mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-22,QUE TIENDAS HAY,No tengo información confirmada sobre las tiendas específicas dentro de Gran Terraza Coapa. La lista de comercios puede variar y actualizarse con frecuencia. Te sugiero consultar el directorio oficial del centro comercia...,mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-23,En esta plaza hay servicio a clientes de Movistar?,No cuento con información confirmada sobre la presencia de un centro de servicio a clientes de Movistar en Gran Terraza Coapa. Te sugiero acercarte al área de informes dentro de la plaza o consultar el directorio oficial...,mantener_brecha,brecha_accionable
Gran Terraza Coapa,2026-05-23,Restaurantes,"Actualmente no tengo información confirmada sobre los restaurantes específicos dentro del centro comercial Gran Terraza Coapa. La lista de restaurantes puede variar, así que te sugiero consultarlo directamente en el dire...",descartar,respuesta_parcial_util
Gran Terraza Coapa,2026-05-23,Dónde está la tienda nike ,No tengo información confirmada sobre la ubicación exacta de la tienda Nike dentro de Gran Terraza Coapa. Te recomiendo validarlo directamente en el directorio del centro comercial o preguntar en los módulos de informaci...,mantener_brecha,brecha_accionable
